Region,2011,2012,2013,2014,2015
Georgia,801353,1417702,2278680,1916098,1725221
tbilisi,425669,821126,1588300,1236585,910568
adjara,116770,187598,318193,266256,255167
guria,21605,5566,6293,11842,15634
imereti,49860,99960,60804,72427,126459
kaxeti,21716,27996,46955,87775,59166
mcxeta,34996,31867,50726,37045,42480
racha,8243,810,5255,2938,2775
samegrelo,43158,62885,30653,64491,104281
samcxe,21905,26426,29054,60588,34730
qvemo qartli,48040,130929,103837,50264,139503
shida qartli,9391,22539,38610,25887,34458
